normal,modify,sulci
unremarkable,modify,orbits
configuration,modify,sulci
normal,modify,ventricles
size,modify,sulci
size,modify,ventricles
configuration,modify,ventricles
acute,modify,fracture
acute,modify,hemorrhage
prominence,modify,ventricles
prominence,modify,sulci
prominent,modify,sulci
acute,modify,territorial infarction
prominent,modify,ventricles
large,modify,territorial infarction
unremarkable,modify,globes
acute,modify,infarction
acute,modify,edema
acute,modify,major vascular territorial infarct
acute,modify,major vascular territorial infarction
unchanged,modify,ventricles
intact,modify,globes
large,modify,mass
stable,modify,ventricles
clear,modify,mastoids
hypodensities,located_at,periventricular
unchanged,modify,sulci
chronic,modify,microvascular ischemic disease
clear,modify,imaged paranasal sinuses
large,modify,masses
caliber,modify,sulci
acute,modify,territorial infarct
hypodensities,located_at,subcortical
stable,modify,sulci
caliber,modify,ventricles
acute,modify,mass
mild,modify,prominence
overall size,modify,sulci
large,modify,territorial infarct
chronic,modify,hypodensities
unremarkable,modify,bones
intact,modify,calvarium
enlarged,modify,sulci
chronic,modify,microvascular infarction
intact,modify,orbits
acute,modify,major vascular territory infarction
enlarged,modify,ventricles
mildly,modify,prominent
large,modify,hemorrhage
cavernous portions,located_at,internal carotid arteries
chronic,modify,infarct
appearance,modify,sulci
normal,modify,cisterns
unchanged,modify,encephalomalacia
large,modify,edema
acute,modify,abnormalities
unchanged,modify,hypodensity
preserved,modify,orbits
acute,modify,acute major vascular territorial infarction
small,modify,hematoma
chronic,modify,microvascular ischemic changes
sulci,suggestive_of,atrophy
appearance,modify,ventricles
ventricles,suggestive_of,atrophy
periventricular,located_at,white matter hypodensities
morphology,modify,sulci
symmetric in configuration,modify,sulci
within normal limits,modify,ventricles
mild,modify,opacification
mild,modify,effacement
morphology,modify,ventricles
acute,modify,ischemic event
size,modify,cisterns
acute,modify,sinusitis
prominent,suggestive_of,atrophy
within expected limits,modify,ventricles
symmetric,modify,ventricles
normal in appearance,modify,ventricles
within expected limits,modify,sulci
acute,modify,major vascular territorial infarcts
essentially clear,modify,mastoids
unremarkable,modify,extracalvarial soft tissues
clear,modify,remaining paranasal sinuses
chronic,modify,lacune
white matter hypodensities,located_at,periventricular
unchanged,modify,hemorrhage
new,modify,hemorrhage
unremarkable,modify,skull
unchanged,modify,opacification
symmetric,modify,sulci
within normal limits,modify,sulci
within normal limits,modify,orbits
midline,modify,ventricles
chronic,modify,microvascular ischemia
resolved,modify,pneumocephalus
symmetric in configuration,modify,ventricles
within expected limits,modify,cisterns
normal,modify,lenses
unchanged,modify,effacement
small,modify,hypodensity
intact,modify,lenses
acute,modify,process
hypodensities,located_at,periventricular white matter
acute,modify,abnormality
stable,modify,encephalomalacia
normal in appearance,modify,sulci
normal in configuration,modify,sulci
small,modify,pneumocephalus
periventricular,located_at,hypodensities
hypodensities,suggestive_of,microvascular ischemic disease
nonspecific,modify,hypodensities
new,modify,acute
persistent,modify,effacement
clear,modify,bilaterally
hypodensity,suggestive_of,infarct
unchanged,modify,cisterns
normal in configuration,modify,ventricles
unchanged,modify,prominence
unremarkable,modify,calvaria
limited,modify,motion
effacement,located_at,sulci
shape,modify,sulci
tip,located_at,foramen
large,modify,infarction
configuration,modify,cisterns
small,modify,fluid
mild,modify,thickening
large,modify,encephalomalacia
new,modify,territorial infarction
prominence,suggestive_of,atrophy
shape,modify,ventricles
contour,modify,sulci
normal in size,modify,ventricles
minimal,modify,opacification
stable,modify,prominence
hypodensity,suggestive_of,microvascular ischemic changes
acute major vascular territorial infarction,modify,major vascular territorial infarction
effacement,located_at,fourth ventricle
ventricles,suggestive_of,age related atrophy
mild,modify,hypodensities
fluid,located_at,nasopharynx
symmetric,modify,orbits
atrophy,located_at,sulci
chronic,modify,encephalomalacia
contour,modify,ventricles
atrophy,located_at,ventricles
stable,modify,hypodensity
stable,modify,hemorrhage
mildly,modify,ventricles
within normal limits,modify,nasopharynx
prominent,suggestive_of,age related atrophy
mild,modify,ex vacuo dilatation
moderate,modify,opacification
hypoattenuation,located_at,periventricular
hemorrhage,located_at,fourth ventricle
unchanged,modify,infarct
dilatation,located_at,ventricles
unchanged,modify,ventriculomegaly
new,modify,edema
chronic,modify,fracture
small,modify,osteoma
clear,modify,ethmoid
enlarged,suggestive_of,age related atrophy
crowding,located_at,foramen magnum
stable,modify,effacement
appropriate,modify,ventricles
hypodensities,located_at,white matter
clear,modify,included paranasal sinuses
bilaterally,modify,internal carotid arteries
appropriate,modify,sulci
chronic,modify,deformity
hypoattenuation,located_at,periventricular white matter
normal,modify,size
acute,modify,territorial vascular infarction
hypodensity,suggestive_of,encephalomalacia
decreased,modify,pneumocephalus
within normal limits,modify,extracalvarial soft tissues
persistent,modify,opacification
hypodensities,located_at,deep
unchanged,modify,size
sulci,suggestive_of,age related atrophy
small,modify,lacune
bilaterally,modify,globes
secretions,located_at,nasopharynx
bilaterally,modify,calcifications
unchanged,modify,edema
visualized portions,modify,globes
enlargement,located_at,ventricles
unchanged,modify,calcification
unchanged,modify,pneumocephalus
acute,modify,transcortical infarction
subacute,modify,infarct
unremarkable,modify,imaged bones
moderate,modify,pneumocephalus
mild,modify,edema
stable in configuration,modify,sulci
unchanged,modify,calcifications
stable,modify,stable in configuration
acute,modify,injury
stable in configuration,modify,stable
normal,modify,configuration
significant,modify,edema
stable,modify,configuration
intact,modify,skull
mild,modify,pneumocephalus
size,modify,hemorrhage
clear,modify,sinuses
stable,modify,ventriculomegaly
patent,modify,ventricles
preserved,modify,sulci
preserved,modify,ventricles
acute,modify,hydrocephalus
bilaterally,modify,opacification
unchanged,modify,hyperdensity
small,modify,meningioma
unremarkable,modify,imaged osseous structures
bilateral,modify,hypodensities
patent,modify,fourth ventricle
unchanged,modify,configuration
hypodensity,suggestive_of,edema
mild,modify,dilatation
extensive,modify,hypodensity
hypodensities,located_at,white matter hypodensities
dilated,modify,ventricles
resolved,modify,hemorrhage
evolving,modify,infarction
white matter hypodensities,located_at,subcortical
sequela,modify,chronic
moderate,modify,prominence
chronic,modify,opacification
tip,located_at,septum pellucidum
cavernous segments,located_at,internal carotid arteries
hemorrhage,located_at,ventricles
enlarged,suggestive_of,atrophy
large,modify,territorial vascular infarction
no change,modify,size
layering,modify,hemorrhage
acute,modify,blood products
calcification,located_at,cavernous portions
bilateral,modify,carotid siphon calcifications
chronic,modify,microangiopathy
increased,modify,ventricles
calcification,located_at,internal carotid arteries
stable,modify,cisterns
somewhat prominent,modify,sulci
small,modify,hyperdensity
bilaterally,modify,opacified
hyperdensity,suggestive_of,hemorrhage
scattered,modify,opacification
